ratio10/5Delta_Point_59_x/Delta_Point_59_y,1.8+/-2.5
FNM300Delta_Point_60_x/Delta_Point_60_y,(7+/-4)e+02
Sum450_Delta_Point_61_x/Delta_Point_61_y,
Sum150_Delta_Point_62_x/Delta_Point_62_y,
ratio15/10Delta_Point_62_x/Delta_Point_62_y,3+/-5
FNM450Delta_Point_63_x/Delta_Point_63_y,(1.9+/-0.5)e+03
Sum450_Delta_Point_64_x/Delta_Point_64_y,
RMSDelta_Point_65_x/Delta_Point_65_y,
ratio10/5Delta_Point_65_x/Delta_Point_65_y,2+/-5
FNM150Delta_Point_66_x/Delta_Point_66_y,(3+/-5)e+02
Sum300_Delta_Point_67_x/Delta_Point_67_y,
RMSDelta_Point_68_x/Delta_Point_68_y,
ratio10/5Delta_Point_68_x/Delta_Point_68_y,2+/-4
FNM300Delta_Point_69_x/Delta_Point_69_y,(1.3+/-1.2)e+03
Sum300_Delta_Point_70_x/Delta_Point_70_y,
RMSDelta_Point_71_x/Delta_Point_71_y,
ratio10/5Delta_Point_71_x/Delta_Point_71_y,2+/-4
FNM150Delta_Point_72_x/Delta_Point_72_y,(4+/-5)e+02
Sum150_Delta_Point_73_x/Delta_Point_73_y,
ratio15/10Delta_Point_73_x/Delta_Point_73_y,3+/-4
FNM450Delta_Point_74_x/Delta_Point_74_y,(1.6+/-0.8)e+03
FNM150Delta_Point_75_x/Delta_Point_75_y,(2+/-4)e+02
Sum300_Delta_Point_76_x/Delta_Point_76_y,
NewColumnDelta_Point_76_x/Delta_Point_76_y,2+/-5
FNM450Delta_Point_77_x/Delta_Point_77_y,(1.1+/-1.0)e+03
Sum450_Delta_Point_78_x/Delta_Point_78_y,
Sum150_Delta_Point_79_x/Delta_Point_79_y,
ratio15/10Delta_Point_79_x/Delta_Point_79_y,3.0+/-2.7
FNM450Delta_Point_80_x/Delta_Point_80_y,(1.7+/-0.4)e+03
FNM150Delta_Point_81_x/Delta_Point_81_y,(2.5+/-2.5)e+02
Sum300_Delta_Point_82_x/Delta_Point_82_y,
NewColumnDelta_Point_82_x/Delta_Point_82_y,2.0+/-0.7
FNM450Delta_Point_83_x/Delta_Point_83_y,(3.7+/-2.8)e+02
Sum450_Delta_Point_84_x/Delta_Point_84_y,
RMSDelta_Point_85_x/Delta_Point_85_y,
ratio10/5Delta_Point_85_x/Delta_Point_85_y,2+/-5
FNM150Delta_Point_86_x/Delta_Point_86_y,(4+/-4)e+02
Sum150_Delta_Point_87_x/Delta_Point_87_y,
